Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-template.cpg-on-ebmonfhir.netzwerk-universitaetsmedizin.de.json	31940	-	0	0	0	0	0	0	10	61	0	0	0	0	0	0	0	1	0	0	188	126	0	0	0	13	0	1
fsh-generated/resources/ActivityDefinition-DailyAssessmentAntibioticDuration.json	849	12	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DailyAssessmentAntibioticFocus.json	805	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DailyAssessmentAntibioticIndication.json	836	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-DailyMobilization.json	713	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DailyMultiprofessionalWardRoundsAction.json	1013	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DailyStopOrdersInvasiveDevices.json	819	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DailySufficientFeeding.json	772	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DailyTreatmentGoals.json	862	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-DailyWeaningAssessments.json	981	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	17	6	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DailyWeaningTrials.json	772	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DeliriumAssessmentEarlyShift.json	800	4	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DeliriumAssessmentLateShift.json	797	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DeliriumAssessmentNightShift.json	801	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-FirstCommunicationPatientsRelativesWithin72hours.json	959	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-FirstEnteralFeedingWithin24hours.json	818	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-FirstMobilizationWithin24hours.json	801	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-FrequentBloodCultures.json	752	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-NoDischargeWithHomeVentilation.json	801	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-PainAssessmentEarlyShift.json	784	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-PainAssessmentLateShift.json	781	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-PainAssessmentNightShift.json	785	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-SedationAssessmentEarlyShift.json	889	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-SedationAssessmentLateShift.json	886	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-SedationAssessmentNightShift.json	890	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-WeeklyCommunicationPatientsRelatives.json	868	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-codex-celida.json	564	4	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	12	2309	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-divi-qi-s.json	1160	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	65	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-Antibiotic.json	1772	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	1	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-ClinicallyFed-NoAdipositas.json	3058	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-IntensiveCareLongerThanThreeDays.json	2625	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	10	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-InvasiveDevice.json	1775	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	8	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-InvasiveVentilation-NoHomeVentilation.json	2990	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-InvasiveVentilation.json	1796	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-PredictedInsufficientEnergyIntake.json	1886	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	19	5	0	0	0	1	0	0
fsh-generated/resources/EvidenceVariable-IntensiveCarePatients-SevereARDS-InvasiveVentilation-FiO2-100.json	3823	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	4	0	0
